,title,rating,metascore,publisher,review
28,Disaster Movie,1.9,0,L.A. Weekly, This carpet-fouling mongrel of a movie no more deserves release than do anthrax spores. 
29,Superbabies: Baby Geniuses 2,2.0,50,Entertainment Weekly," The film's moral? Turn off the TV, young 'uns, and go outside and play! And avoid Superbabies: Baby Geniuses 2 matinees while you're at it. "
30,Superbabies: Baby Geniuses 2,2.0,30,The Hollywood Reporter, The sequel retains not only the same gimmicky premise as the original but its preference for cliche-ridden dialogue and flat-footed comedy as well. 
31,Superbabies: Baby Geniuses 2,2.0,30,TV Guide Magazine, Entirely too convoluted for kids and implausible even by the standards set by the original concept. 
32,Superbabies: Baby Geniuses 2,2.0,25,USA Today," Here's a late-August dog-days atrocity from the ""aren't farts funny?"" school of filmmaking. "
33,Superbabies: Baby Geniuses 2,2.0,25,New York Daily News, Features even more toddlers acting in a way only collectors of velvet paintings will consider irresistible. 
34,Superbabies: Baby Geniuses 2,2.0,20,L.A. Weekly," As for anyone else who may experience a sudden need for therapy after sitting through this, you're on your own. "
35,Superbabies: Baby Geniuses 2,2.0,20,Variety," Falls short on nearly every level, from production values to an inexplicable cameo by Whoopi Goldberg. "
36,Superbabies: Baby Geniuses 2,2.0,20,Washington Post, So bad that I predict there will be drinking games set around viewing it someday. 
37,Superbabies: Baby Geniuses 2,2.0,0,Dallas Observer," The first Baby Geniuses, released in 1999, was one of the most inane, humorless, ill-conceived, poorly acted comedies of the year. As difficult as it is to imagine, the sequel is even worse, earning an F. "
38,Superbabies: Baby Geniuses 2,2.0,0,The New York Times," Villainy toward the infant class now comes from Jon Voight, descending to the depths of his 37-year-career. "
39,House of the Dead,2.0,50,Variety, Whether this is a good or bad thing depends on just how much 14-year-old boy you've got in ya. 
40,House of the Dead,2.0,40,Los Angeles Times," There's scarcely a whiff of originality in the zombie horror picture House of the Dead, but Uwe Boll has directed it with enough energy and style that it adds up to passably mindless if grisly fun. "
41,House of the Dead,2.0,38,New York Daily News," Director Uwe Boll wholeheartedly embraces the film's concept, and with some fancy editing and a pulsing soundtrack, the effect really is like watching a video game. "
42,House of the Dead,2.0,25,The Globe and Mail (Toronto)," Somewhere between cartoonishly bad for comic effect and bad because the filmmakers didn't really give a damn, The House of the Dead is, at least, unpretentiously dumb. "
43,House of the Dead,2.0,25,Boston Globe," House of the Dead, sadly, is so bad it's bad. "
44,House of the Dead,2.0,20,The New York Times," Does little more than add another title to the very long list of movies influenced by George Romero's 1968 horror classic, ""Night of the Living Dead."" "
45,House of the Dead,2.0,20,The A.V. Club," Much poorly choreographed gunplay, many lovingly rendered head explosions, and some half-assed exposition about centuries-old, immortality-seeking pirates follow, with nothing to recommend House Of The Dead to anyone but the most undiscriminating zombie-movie fans. "
46,House of the Dead,2.0,20,Film Threat," Here’s a would-be horror film that contains not one ounce of professional pride in its making, not one shred of technical competence. This is one of the worst films of recent times. "
47,House of the Dead,2.0,20,The Hollywood Reporter, Laughable performances. 
48,House of the Dead,2.0,0,New York Post," Based on a video game, far exceeds expectations -- in negative ways that inspire thoughts of less than zero stars. "
49,From Justin to Kelly,2.1,40,L.A. Weekly," Full of gumption, Clarkson and Guarini soldier on, seemingy unaware that the perfectly adequate singing voices that brought them to the big screen are being drowned out, on a half-dozen same-sounding songs, by an overlayered backup group. "
50,From Justin to Kelly,2.1,30,The New York Times," They play cotton candy effigies of themselves named Kelly and Justin, and the best that can be said is that they don't embarrass themselves. "
51,From Justin to Kelly,2.1,30,Variety," The most resounding thuds in From Justin to Kelly, however, come from the musical numbers. "
52,From Justin to Kelly,2.1,25,Miami Herald," A feather-light musical rushed into production to capitalize on American Idol-frenzy, is nothing more than an excuse to give the two leads several musical numbers, a la those Frankie Avalon-Annette Funicello ""Beach Blanket Bingo"" movies, and with just about the same amount of substance, too. "
53,From Justin to Kelly,2.1,25,Philadelphia Inquirer," In this frothy beach movie, they make pop-music lite together but create an utterly unconvincing romantic couple, seeming more like siblings or best friends. From Ruben to Clay might work better. "
54,From Justin to Kelly,2.1,25,New York Post, Arguably the most insipid movie released so far this century. 
55,From Justin to Kelly,2.1,20,Dallas Observer," Aspires to be a ""Beach Blanket Bingo"" redux with a gangbang Grease finale, but it plays like junior high Neil LaBute filmed by an elementary school AV squad. "
56,From Justin to Kelly,2.1,10,Film Threat," Just one of those films, a bottomless well of snark fodder that may come and go in theatres but will surely be spun innumerable times on DVD at parties in the years to come. "
57,From Justin to Kelly,2.1,0,The A.V. Club," More than anything, From Justin To Kelly needs Simon Cowell, the fork-tongued Idol judge who gives the show its only sliver of tension. "
58,From Justin to Kelly,2.1,0,New York Daily News," More than awful, more than dreadful, and easily the worst beach movie ever made. "
59,Who's Your Caddy?,2.1,42,The A.V. Club," The tired racial stereotypes that Caddy inserts into the old Caddyshack-style ""slobs vs. snobs"" formula should probably make it much more offensive than it is. "
60,Who's Your Caddy?,2.1,40,Variety, An instantly forgettable trifle. 
61,Who's Your Caddy?,2.1,38,New York Daily News, His C-Note is essentially a one-note character. And that note is flat. 
62,Who's Your Caddy?,2.1,30,The Hollywood Reporter," Ultimately this is utterly forgettable stuff, not even managing to fulfill its mandate of mindless summer fun. "
63,Who's Your Caddy?,2.1,30,L.A. Weekly," No, it’s not Caddyshack -- just swap Jews (Rodney Dangerfield) for blacks (Big Boi) and you’ve got Who’s Your Caddy?. The movie, of course, is terrible. "
64,Who's Your Caddy?,2.1,30,The New York Times, There’s probably more wit and pointed social commentary in the average four-minute OutKast song than in the entirety of Who’s Your Caddy? 
65,Who's Your Caddy?,2.1,12,Boston Globe," As it develops, Who's Your Caddy? just becomes depressing. You want to alert the United Negro College Fund: A mind has terribly gone to waste. "
66,Who's Your Caddy?,2.1,11,Austin Chronicle, Must be counted as a forfeit. 
67,Who's Your Caddy?,2.1,0,Film Threat, The sport of golf has seen its fair share of vulgar comedies over the last 30 years or so. 
68,Who's Your Caddy?,2.1,0,Washington Post," An offensive, comedy-free comedy. "
69,Glitter,2.2,60,Los Angeles Times," Glitter is the week's only major Hollywood release, and it offers considerable escapist entertainment while hitting an affirmative note. "
70,Glitter,2.2,40,L.A. Weekly," Glitter is, if nothing else, comfortable with what it is, namely earnestly made, wholehearted schlock. "
71,Glitter,2.2,38,New York Daily News," This is the worst performance by a pop star in a dramatic role since Madonna suited up for ""Shanghai Surprise."" "
72,Glitter,2.2,25,San Francisco Chronicle, It doesn't help that Glitter is such a derivative mishmash of cinematic and real-life situations that it's nearly impossible to count all the ways. 
73,Glitter,2.2,25,Entertainment Weekly," It's doubtful that even a real actress could have triumphed over the rusty tinsel of Glitter, a hapless, retro-'80s ''Star Is Born.'' "
74,Glitter,2.2,20,TV Guide Magazine," A butt-numbing exercise in tedium, sporadically redeemed by moments of unintentional hilarity. "
75,Glitter,2.2,12,Baltimore Sun, Glitter does no one any favors. 
76,Glitter,2.2,10,Variety," Glitter deserves yet another title: ""A Star Is Dull."" As phony a vehicle as one could possibly concoct for a wannabe movie star, pic carries Mariah Carey into a swamp of gloppy melodrama. "
77,Glitter,2.2,10,The New York Times," Mostly dross, an unintentionally hilarious compendium of time-tested cinematic clichés that illustrates the chasm between hopeful imitation and successful duplication. "
78,Glitter,2.2,0,New Times (L.A.), Worst movie of the year. 
79,Son of the Mask,2.2,50,Entertainment Weekly," The characters twirl around like mini tornadoes, but between random brash moments of technological eye-tickling, Son of the Mask sags more than it spins. "
80,Son of the Mask,2.2,50,Miami Herald," In actuality, it's silly fun custom-tailored for reluctant young fathers and that entire clan of 20-something man-children who still read comic books and play video games, guys who do everything possible to resist the notion of adult responsibility. "
81,Son of the Mask,2.2,40,Village Voice," At its heart is a deep, unresolved ambivalence about child rearing. "
82,Son of the Mask,2.2,38,Chicago Tribune," Even with a new leading man and a more family-friendly rating, some things never change: The Mask still stars Industrial Light & Magic. "
83,Son of the Mask,2.2,30,Variety, The net result is a truly numbing experience. 
84,Son of the Mask,2.2,30,L.A. Weekly," Most of the animated sequences, capably mixed with live action, leave a bad aftertaste, particularly when the ultimate fate of one beaten and battered human bystander after another is left callously unresolved. In other words, parents beware. "
85,Son of the Mask,2.2,25,Christian Science Monitor, Cumming's antic acting is the only asset of this boisterous comedy. 
86,Son of the Mask,2.2,20,The Hollywood Reporter," Loud, mean-spirited and generally obnoxious, Son of the Mask makes the boisterous 1994 original look downright demure and refined. "
87,Son of the Mask,2.2,20,Dallas Observer, One presumes the only thing worse than making this disaster is actually watching it; wouldn't wish either on anyone. 
88,Son of the Mask,2.2,10,The New York Times," An irredeemable mess, a computer-animated Punch and Judy show without wit, heart or a single memorable performance. "
89,Alone in the Dark,2.3,50,Los Angeles Times," Since the film is based on the Atari video game of the same name, it also has much to appeal to headbangers: fast pace, lots of gadgets, monsters, explosive special effects, plenty of inscrutable plot twists and turns. "
90,Alone in the Dark,2.3,30,Dallas Observer, Here is the horror-action genre at its silliest and most uninspired. 
91,Alone in the Dark,2.3,30,Variety," Fans of the source material probably won't be switching platforms to catch this bizarre Lions Gate pickup, and non-fans definitely won't. "
92,Alone in the Dark,2.3,25,Chicago Tribune," That this bit of pustulence is based on a video game of the same name is no surprise. It explains the thin plot, characters and abundant gunplay. "
93,Alone in the Dark,2.3,25,Charlotte Observer," Slater narrates as if reading a restaurant menu. Reid seems to have learned each long sentence in segments, so she wouldn't be overtaxed. "
94,Alone in the Dark,2.3,25,Philadelphia Inquirer," Even Boll seems to lose interest as the story unravels. By that time, the supernatural cliches, plot inconsistencies, dead ends and red herrings have piled up so high you can barely see the screen. "
95,Alone in the Dark,2.3,25,Seattle Post-Intelligencer," Director Uwe Boll (""House of the Dead"") has made a cottage industry out of this kind of junk. Maybe it's time for him to close up shop. "
96,Alone in the Dark,2.3,10,The Hollywood Reporter, One of those rare instances of a movie being so bad ... it's still really bad. 
97,Alone in the Dark,2.3,10,Washington Post," This is definitely for people who 1) love the video game, 2) think Slater and Dorff are eminently watchable, no matter what bad flick they're in and 3) are wearing industrial-strength ear plugs. "
98,Alone in the Dark,2.3,0,The New York Times," So inept on every level, you wonder why the distributor didn't release it straight to video, or better, toss it directly into the trash. "
99,Gigli,2.4,58,Entertainment Weekly," A watchable bad movie, but it's far from your typical cookie-cutter blockbuster. There are no shoot-outs or car chases, and there isn't much romantic suspense, either. "
100,Gigli,2.4,40,The A.V. Club," Writer-director Martin Brest lends the film a professional sheen, and his stars (who some rumors suggest may have become romantically involved) have charisma to spare, but the film has all the charge and momentum of a Paxil ad. "
101,Gigli,2.4,40,Salon," Turns out to be merely bad -- not a train wreck, not the crime against humanity it's been rumored to be. "
102,Gigli,2.4,38,Charlotte Observer," After five minutes, Christopher Walken vanishes. We wait vainly for the next 90 minutes for someone, anyone to bring that kind of danger, unpredictability and vitality to a story as drab as army fatigues. "
103,Gigli,2.4,25,New York Post," The problem with Gigli is that it is an inept attempt to do Elmore Leonard by Martin Brest, a filmmaker whose coarse sensibility makes him catastrophically unqualified to the task. "
104,Gigli,2.4,25,Baltimore Sun, Excruciating...The movie proves to be singularly unfunny and static almost from the non-get-go. Virtually nothing happens; the movie is all premise. 
105,Gigli,2.4,25,New York Daily News, Gigli is a disaster. 
106,Gigli,2.4,25,The Globe and Mail (Toronto)," A hypnotic, black hole of a movie that sucks reputations, careers and goodwill down its vortex. Rarely has a movie that doesn't star Madonna achieved such a skin-crawling mixture of deluded preening and bungled humour. "
107,Gigli,2.4,0,Wall Street Journal," The worst movie -- all right, the worst allegedly major movie -- of our admittedly young century. More stupefying follies may come, but it's impossible to imagine how they'll beat this one for staggering idiocy, fatuousness or pretension. "
108,Gigli,2.4,0,San Francisco Chronicle," The most thoroughly joyless and inept film of the year, and one of the worst of the decade. We're talking about a disaster, and not of the fun ""Showgirls"" variety, either. "
109,Epic Movie,2.4,40,The New York Times," The humor is coarse and occasionally funny. The archly bombastic score, by Edward Sheamur, is the only thing you might call witty. But happily, Jennifer Coolidge and Fred Willard show up, as the White Bitch and Aslo the Lion, to add some easy, demented class. "
110,Epic Movie,2.4,30,Variety," If imitation is the sincerest form of flattery, big studio Hollywood hitmakers should consider themselves lauded to the max in Jason Friedberg and Aaron Selzer's Epic Movie, the latest (and epically unfunny) entry in the movie parody franchise. "
111,Epic Movie,2.4,30,Chicago Reader," The cinematic equivalent of a tapeworm, this delivers few laughs beyond the initial chuckles of recognition. Seltzer and Friedberg (who also directed) have another script in development called ""Raunchy Movie""; apparently one idea they haven't yet considered is ""Watchable Movie."" "
112,Epic Movie,2.4,25,ReelViews," Epic Movie is a waste of time. It's like a bad issue of ""Cracked Magazine"" come to life. It's not so much painful as it is sleep inducing. "
113,Epic Movie,2.4,25,TV Guide Magazine," The sadists responsible for the painfully unfunny ""Date Movie"" (2006) are back, and this time they've outdone themselves: This theater-clearer is even less amusing than its terrible predecessor, a spoof so devoid of laughs it can longer be categorized as a comedy. "
114,Epic Movie,2.4,25,New York Daily News," Still, if it gets little else right, at least Epic Movie is accurately titled: It may be only 86 minutes long, but it feels as if it lasts forever. "
115,Epic Movie,2.4,25,The Globe and Mail (Toronto)," Jason Friedberg and Aaron Seltzer must be stopped. For the last two years, this filmmaking team has created a series of spoof movies so feeble, shoddy and unfunny that they may be part of a diabolical, ""Manchurian Candidate""-like plot to stunt the intellectual development of American adolescents. "
116,Epic Movie,2.4,20,L.A. Weekly," By the time this dud drops on NetFlix, it'll be as obsolete as a Chia pet jokebook. "
117,Epic Movie,2.4,12,New York Post," This spoof of ""The Da Vinci Code,"" ""Pirates of the Caribbean,"" ""Harry Potter,"" ""The Chronicles of Narnia"" and other recent blockbusters piles up sex gags, toilet gags and make-you-gag gags. "
118,Epic Movie,2.4,12,Boston Globe," The willful sloppiness and retrograde gags make Epic Movie, which was not shown to critics, an inevitable byproduct of our Internet video era. It seems downloaded and projected onto the screen, a failing online-film-school project paid for and put out by a Hollywood movie studio. That said, very little on YouTube is this unentertaining. "
119,Battlefield Earth,2.5,50,Chicago Tribune," Scientology or not, the movie is a battlefield bummer that makes you want to revolt. "
120,Battlefield Earth,2.5,38,Boston Globe," So heavy and lifeless that you keep waiting for those three little front-row kibitzers from ""Mystery Science Theatre 3000"" to appear at the bottom of the screen to start goofing on it. "
121,Battlefield Earth,2.5,30,Salon," Shot after shot photographed at wobbly, off-center angles for no particular reason, weigh every action sequence down with super-slo-mo in lame imitation of ""The Matrix"" or end every single scene with a vertical wipe. "
122,Battlefield Earth,2.5,20,Variety," Yet the overall look, though derivative (""The Matrix,"" ""Blade Runner,"" ""Waterworld,"" etc.), rates as Battlefield's one non-guilty pleasure. "
123,Battlefield Earth,2.5,16,Portland Oregonian," A ghastly, unappealing mess that lacks a single absorbing character, engaging story line or entertaining snippet of dialogue. "
124,Battlefield Earth,2.5,10,Film.com," The film is Travolta's baby, but indifference and boredom is everywhere. "
125,Battlefield Earth,2.5,10,Newsweek," The dialogue is inane, the acting wooden, and Roger Christian's directing choices are a lesson in sci-fi film cliché. "
126,Battlefield Earth,2.5,10,TNT RoughCut, The only danger in seeing this film is in busting a gut at its unintentional hilarity. 
127,Battlefield Earth,2.5,0,Film.com," In the pantheon of cinematic train wrecks, from ""Ishtar"" to ""Waterworld,"" set a place at the table for Battlefield Earth. "
128,Battlefield Earth,2.5,0,Rolling Stone," With this kind of epic ineptitude -- hell, the flick is set in the year 3000 -- you go for ""worst of the millennium."" "
129,Baby Geniuses,2.6,40,Film Threat, This movie wasn't nearly as bad as I thought it would be. It's still not that good though. 
130,Baby Geniuses,2.6,38,Chicago Sun-Times," Bad films are easy to make, but a film as unpleasant as Baby Geniuses' achieves a kind of grandeur. "
131,Baby Geniuses,2.6,25,The Globe and Mail (Toronto), About as endearing as unanesthetized gum surgery. 
132,Baby Geniuses,2.6,10,Chicago Reader, The hokey dialogue and witless physical gags keep everything painful and hectoring. 
133,Baby Geniuses,2.6,10,L.A. Weekly," There are ticklish moments, but no real laughs. "
134,Baby Geniuses,2.6,10,Variety," A thoroughly misguided, unfunny film that proves you shouldn't beat a dead horse. "
135,Baby Geniuses,2.6,0,Entertainment Weekly, The worst movie of 1999. 
136,Baby Geniuses,2.6,0,The New York Times," One way to get through Baby Geniuses is to think about whether it really is the worst movie you've ever seen. Probably not, but pretty darn close. "
137,Baby Geniuses,2.6,0,San Francisco Chronicle, A stupid comedy with toddlers talking like hip '90s grown-ups. 
138,Baby Geniuses,2.6,0,Austin Chronicle, Trying to encapsulate the movie's storyline is not possible; it doesn't appear to have one. 
139,Dragonball Evolution,2.6,70,The New York Times," May or may not appeal to fans of the Japanese fantasy franchise it is based on, but aficionados of apocalyptic teenybopper kung fu extravaganzas are in for a real treat. "
140,Dragonball Evolution,2.6,70,Village Voice," Far more entertaining than it deserves to be, unless you're a 10-year-old boy, in which case it's only the greatest movie ever made. "
141,Dragonball Evolution,2.6,50,Variety," A popular Japanese manga series gets a pleasing if paint-by-numbers live-action makeover in Dragonball Evolution, which half-heartedly tries to keep the faith for its pubescent male fanbase. "
142,Dragonball Evolution,2.6,50,Entertainment Weekly, Marvel at the fact that something this trippy made it to our local multiplex. 
143,Dragonball Evolution,2.6,50,Boston Globe," Nearly all the actors seem to be having a good time, and the action moves so fast that you don't mind when something nuts happens. "
144,Dragonball Evolution,2.6,42,The A.V. Club," The film is crammed with treats for old-school ""Dragonball"" fans, from the inclusion of all these characters (who don't actually do much) to the moment when spiky-haired Goku dons his orange gi. For everyone else, this amounts to another seen-it-before, probably-willing-to-see-it-again distraction. "
145,Dragonball Evolution,2.6,40,Los Angeles Times," Director James Wong (""Final Destination"") and writer Ben Ramsey are utterly blasé in their approach to the series' mythology and structure, cobbling together an 84-minute movie that seems to exist only to rile up fanboys. On that count -- and that count alone -- Dragonball Evolution triumphs. "
146,Dragonball Evolution,2.6,40,Austin Chronicle," Bottom line: costumed Goku and Chi Chi cosplayers may argue the finer points of this adaptation, but it is fairly dazzling it its own overextended, futurist-teenpulp fashion, and Chow makes a vastly more entertaining Roshi than he did a King. "
147,Dragonball Evolution,2.6,38,TV Guide Magazine," Just know there's a whole lot more great stuff out there than just what Evolution has in store for you -- namely, the anime that it was based on. "
148,Dragonball Evolution,2.6,20,The Hollywood Reporter," Completely lacking in visual, narrative or stylistic coherence, the film also suffers from cheap-looking visual effects and poorly staged and edited action sequences that will not exactly please the fanboys. "
149,3 Ninjas: High Noon at Mega Mountain,2.8,80,Los Angeles Times," Exceptionally well-made family entertainment, this 3 Ninjas is constantly inventive, action-filled and funny, with a flourish of good special effects. "
150,3 Ninjas: High Noon at Mega Mountain,2.8,58,The A.V. Club," The incredible silliness doesn’t quite erase the bad taste of this kid’s movie featuring an implied dozen civilian casualties, but it helps. "
151,3 Ninjas: High Noon at Mega Mountain,2.8,50,San Francisco Chronicle," Pathetic yet stupidly entertaining for several minutes of its interminable running time, 3 Ninjas: High Noon at Mega Mountain makes half its cast look like retreads and half like fresh ponies desperately karate-kicking a dud script to see if it has any signs of life. "
152,3 Ninjas: High Noon at Mega Mountain,2.8,40,The New York Times," For most moviegoers over 12, this, the fourth Three Ninjas movie, will be interminably boring. But it's possible that young children will enjoy the film, since it falls into both the action category and the children-are-smart-adults-can't-do-anything-right genre. "
153,3 Ninjas: High Noon at Mega Mountain,2.8,38,New York Post," As the fourth entry of a painfully uninspired series, this version features new actors portraying the trio of adolescent warriors. [10 Apr 1998, p.49] "
154,3 Ninjas: High Noon at Mega Mountain,2.8,30,Variety, Only small children with limited attention spans will be impressed by the lackluster kung-foolishness in 3 Ninjas: High Noon at Mega Mountain. 
155,3 Ninjas: High Noon at Mega Mountain,2.8,25,TV Guide Magazine, The best you can say is that it's all pretty harmless and pretty stupid. 
156,Date Movie,2.8,30,The New York Times," Aaron Seltzer and Jason Friedberg, who wrote the screenplay, have crammed dozens of movie parodies into this deliberately juvenile spoof of romantic comedies. Mr. Seltzer, who directed, has made very few of them funny. "
157,Date Movie,2.8,30,L.A. Weekly," This anemic genre parody from two of the six writers of ""Scary Movie"" strives for the goofball precision of the brothers Zucker and, long before it reaches the end of its 70-odd minutes, gives you newfound respect for the comic genius of the brothers Wayans (two of the other writers of ""Scary Movie""). "
158,Date Movie,2.8,25,San Francisco Chronicle, A lame pastiche of Hollywood romances. 
159,Date Movie,2.8,25,TV Guide Magazine," The choice is yours: Shell out 10 bucks for this dire spoof of recent romantic comedies a la ""Scary Movie"" and ""Not Another Teen Movie"", or toss your 12-year-old nephew a quarter and get him to act out scenes from his favorite movies for 80 minutes: The entertainment value will be about the same. "
160,Date Movie,2.8,20,Variety," Arguably the lamest of all the free-wheeling genre parodies that have taken flight since ""Airplane!,"" Date Movie is stupefyingly unfunny in its attempts to mock romantic comedies, celebrities, reality TV shows and anything else that pops into the heads of its creators. "
161,Date Movie,2.8,20,Los Angeles Times, The only thing remotely resembling parody in this depressing waste of time and money is Jennifer Coolidge's sendup of Barbra Streisand as an over-the-top string of Jewish mother clichés. 
162,Date Movie,2.8,0,New York Daily News," ""Comedy is hard,"" said Steve Martin. For the writers of Date Movie, it's apparently impossible. "
163,Date Movie,2.8,0,New York Post," A collection of throwaway gags from other movies, a big blue recycling barrel of comedy waiting for the trash collector. It's rated PG-13 because 13 is the maximum age of those who might find it funny. "
164,Date Movie,2.8,0,Film Threat, Elapsed time before I walked out: 29 minutes Total laughs (in that period): 0 
165,Date Movie,2.8,0,The Globe and Mail (Toronto)," Date Movie is a good date movie in one sense: If you're still speaking to the person who brought you to see this, you just might have a future together. "
166,Meet the Spartans,2.8,58,Entertainment Weekly," Less classic Mel Brooks than middling ""Best Week Ever."" "
167,Meet the Spartans,2.8,38,Boston Globe," The best thing in Meet the Spartans is the swift kick in the bombast it delivers to the oh-no-not-us homoeroticism of ""300."" "
168,Meet the Spartans,2.8,25,TV Guide Magazine," The musical number that runs during the closing credits funnier than anything that precedes it, which isn't saying much. "
169,Meet the Spartans,2.8,20,The Hollywood Reporter," Writer-directors Jason Friedberg and Aaron Seltzer basically reprise the tired formula from their earlier efforts, which is to throw in as many pop culture references as possible to cover up the lack of any real wit. "
170,Meet the Spartans,2.8,20,The New York Times, Overkill is what Jason Friedberg and Aaron Seltzer do best: as the uncontested titans of the parody genre (with fingers in everything from the “Scary Movie” franchise to the more recent “Epic Movie”) they continue to prove that ridiculing other movies is much easier than making your own. 
171,Meet the Spartans,2.8,20,L.A. Weekly," Meet the Spartans is a mild improvement over their ""Epic Movie,"" which is like saying that a debilitating fever is more fun than appendicitis, but what’s shocking is how lazy it is, which is a shame for former UK child star/pop singer Sean Maguire, whose Gerard Butler impersonation is spot-on. "
172,Meet the Spartans,2.8,10,Variety," Lazy, lame and painfully unfunny, Meet the Spartans is yet another scrambled-genre parody. "
173,Meet the Spartans,2.8,0,The A.V. Club," Meet The Spartans gamely alternates between unfunny gay jokes and violent pratfalls for a good 80 minutes, finding time for not one, but two musical dance numbers set to ""I Will Survive."" "
174,Meet the Spartans,2.8,0,Village Voice," Witless, tasteless, formless spoof. "
175,Meet the Spartans,2.8,0,Austin Chronicle," Hey, guys, when you repurpose a disco hit to poke fun at gay men, not only do you look like assholes, you look like assholes who rip their jokes off of YouTube. "
176,The Human Centipede III (Final Sequence),2.8,42,IndieWire," The Human Centipede III (Final Sequence) is just as repulsive, but far louder, and in color. "
177,The Human Centipede III (Final Sequence),2.8,30,Village Voice," Tom Six's threequel races to the bottom with abandon, all while indulging in tired wink-wink self-consciousness that includes Six himself showing up to witness his movie monster made real (and to be slandered by Laser as ""a poop-infatuated toddler""). "
178,The Human Centipede III (Final Sequence),2.8,20,New York Daily News," Neither Scary nor eye-rollingly fun, The Human Centipede 3 (Final Sequence) is the dullest entry in an atrocious trilogy. "
