,title,rating,metascore,publisher,review
25,The Godfather: Part II,9,90,Variety," Al Pacino again is outstanding as Michael Corleone, successor to crime family leadership. "
26,The Godfather: Part II,9,90,The Hollywood Reporter, It is neither a very happy or driving picture. But it is intellectually daring and marks an important breakthrough in the growing up of the Hollywood film. 
27,The Godfather: Part II,9,75,Chicago Sun-Times," Coppola is unable to draw all this together and make it work on the level of simple, absorbing narrative. The stunning text of ""The Godfather"" is replaced in Part II with prologues, epilogues, footnotes, and good intentions. "
28,The Godfather: Part II,9,70,Chicago Reader," Three hours and 20 minutes of Al Pacino suffering openly, Robert Duvall suffering silently, Diane Keaton suffering noisily, and (every so often) Robert De Niro suffering good-naturedly is almost too much, but Francis Ford Coppola pulls it off in grand style. "
29,The Godfather: Part II,9,40,The New York Times," The only remarkable thing about Francis Ford Coppola's The Godfather, Part II is the insistent manner in which it recalls how much better his original film was...Even if Part II were a lot more cohesive, revealing, and exciting than it is, it probably would have run the risk of appearing to be the self-parody it now seems. "
30,The Dark Knight,9,100,Variety," Enthralling...An ambitious, full-bodied crime epic of gratifying scope and moral complexity, this is seriously brainy pop entertainment that satisfies every expectation raised by its hit predecessor and then some. "
31,The Dark Knight,9,100,The Hollywood Reporter," Bale again brilliantly personifies all the deep traumas and misgivings of Batman's alter ego, Bruce Wayne. A bit of Hamlet is in this Batman. "
32,The Dark Knight,9,100,Time," Beyond dark. It's as black -- and teeming and toxic -- as the mind of the Joker. ""Batman Begins,"" the 2005 film that launched Nolan's series, was a mere five-finger exercise. This is the full symphony. "
33,The Dark Knight,9,100,ReelViews," Christopher Nolan has provided movie-goers with the best superhero movie to-date, outclassing previous titles both mediocre and excellent, and giving this franchise its ""The Empire Strikes Back."" "
34,The Dark Knight,9,91,Entertainment Weekly," At two hours and 32 minutes, this is almost too much movie, but it has a malicious, careening zest all its own. It's a ride for the gut AND the brain. "
35,The Dark Knight,9,88,Rolling Stone," No fair giving away the mysteries of The Dark Knight. It's enough to marvel at the way Nolan -- a world-class filmmaker, be it ""Memento,"" ""Insomnia"" or ""The Prestige"" -- brings pop escapism whisper-close to enduring art. "
36,The Dark Knight,9,88,Miami Herald," The Dark Knight is dark, all right: It's a luxurious nightmare disguised in a superhero costume, and it's proof that popcorn entertainments don't have to talk down to their audiences in order to satisfy them. The bar for comic-book film adaptations has been permanently raised. "
37,The Dark Knight,9,70,Newsweek," You may emerge more exhausted than elated. Nolan wants to prove that a superhero movie needn't be disposable, effects-ridden junk food, and you have to admire his ambition. But this is Batman, not ""Hamlet."" Call me shallow, but I wish it were a little more fun. "
38,The Dark Knight,9,50,New York Magazine (Vulture)," The novelty wears off and the lack of imagination, visual and otherwise, turns into a drag. The Dark Knight is noisy, jumbled, and sadistic. "
39,The Dark Knight,9,50,The New Yorker," The Dark Knight is hardly routine--it has a kicky sadism in scene after scene, which keeps you on edge and sends you out onto the street with post-movie stress disorder. "
40,12 Angry Men,8.9,100,Chicago Sun-Times, The movie plays like a textbook for directors interested in how lens choices affect mood. 
41,12 Angry Men,8.9,100,The New York Times," A penetrating, sensitive, and sometimes shocking dissection of the hearts and minds of men who obviously are something less than gods. It makes for taut, absorbing, and compelling drama that reaches far beyond the close confines of its jury room setting. "
42,12 Angry Men,8.9,100,Slant Magazine," What's most interesting about the intense deliberations that ensue, specifically when a piece of seemingly indisputable evidence is brought back into question, is how a fresh angle and perspective, usually born from Juror 8's critical thinking, can permanently alter the tone of the discussion. "
43,12 Angry Men,8.9,100,The Telegraph," Few film directors can resist the urge to ""open out"" a story, to broaden the view and bring in as wide a variety of sets and locations as the narrative - and budget - will allow. The genius of Sidney Lumet's astonishingly powerful 12 Angry Men is that he does exactly the opposite: he takes an already small, claustrophobic space - a jury room - and makes it even more confined. "
44,12 Angry Men,8.9,100,Time Out," Too few films take on the art of arguing as a subject; we could certainly use more of them, but until then, Lumet’s window into strained civic duty will continue to serve mightily. "
45,12 Angry Men,8.9,100,Empire," Sidney Lumet's dazzling debut, based on Reginald Rose's teleplay, delivers a masterclass in the pure dynamism of acting, as Henry Fonda's reasonable doubt gradually sways the 11 other jurors from their various prejudices. "
46,12 Angry Men,8.9,90,Variety," Perhaps the motivations of each juror are introduced too quickly and are repeated too often before each changes his vote. However, the film leaves a tremendous impact. "
47,12 Angry Men,8.9,90,Time Out London," What really transforms the piece from a rather talky demonstration that a man is innocent until proven guilty, is the consistently taut, sweltering atmosphere, created largely by Boris Kaufman's excellent camerawork. The result, however devoid of action, is a strangely realistic thriller. "
48,12 Angry Men,8.9,88,ReelViews," The stakes of those deliberations are so high, the personalities of the jurors so forceful, and the arguments so pregnant with importance that there is no instance in which boredom threatens. "
49,12 Angry Men,8.9,80,Chicago Reader," Mechanically written, but within its own middlebrow limitations, it delivers the goods. "
50,Schindler's List,8.9,100,Chicago Tribune," What is surprising is how well Spielberg captures the horror, moving his camera with the fury of a combat photographer on the run. [17 Dec 1993] "
51,Schindler's List,8.9,100,Film.com," The other key part is Schindler's Jewish accountant, played with self-effacing brilliance by Ben Kingsley, who gives the movie just the touch of warmth and sanity it needs. "
52,Schindler's List,8.9,100,TV Guide Magazine," Director Steven Spielberg has achieved something close to the impossible--a morally serious, aesthetically stunning historical epic that is nonetheless readily accessible to a mass audience. "
53,Schindler's List,8.9,100,Chicago Sun-Times," What is most amazing about this film is how completely Spielberg serves his story. The movie is brilliantly acted, written, directed and seen. Individual scenes are masterpieces of art direction, cinematography, special effects, crowd control. "
54,Schindler's List,8.9,100,Entertainment Weekly, Spielberg restages the Holocaust with an existential vividness unprecedented in any nondocumentary film: He makes us feel as if we're living right inside the 20th century's darkest-and most defining-episode. 
55,Schindler's List,8.9,100,Time," Epic cinema, tragic drama, it is also an act of remembrance and conscience that ultimately transcends the ordinary critical categories. "
56,Schindler's List,8.9,100,Variety, Evinces an artistic rigor and unsentimental intelligence unlike anything the world's most successful filmmaker has demonstrated before. 
57,Schindler's List,8.9,89,Austin Chronicle," The movie's ending at the train station and the modern-day epilogue feel protracted and indulgent...Apart from the ending though, this is Spielberg's most articulate movie ever. "
58,Schindler's List,8.9,88,The Globe and Mail (Toronto), A powerful and affecting piece of work. 
59,Schindler's List,8.9,80,Chicago Reader," Spielberg does an uncommonly good job both of holding our interest over 185 minutes and of showing more of the nuts and bolts of the Holocaust than we usually get from fiction films. Despite some characteristic simplifications, he's generally scrupulous about both his source and the historical record. "
60,The Lord of the Rings: The Return of the King,8.9,100,Entertainment Weekly," The conclusion of Peter Jackson's masterwork is passionate and literate, detailed and expansive, and it's conceived with a risk-taking flair for old-fashioned movie magic at its most precious. "
61,The Lord of the Rings: The Return of the King,8.9,100,The Hollywood Reporter, An epic success and a history-making production that finishes with a masterfully entertaining final installment. 
62,The Lord of the Rings: The Return of the King,8.9,100,Newsweek," The second installment was better than the first, and this one is best of all. It has spectacular action scenes and imaginary creatures, and it’s by far the most moving chapter. The performances have deepened. "
63,The Lord of the Rings: The Return of the King,8.9,100,Time, The second half of the film elevates all the story elements to Beethovenian crescendo. Here is an epic with literature's depth and opera's splendor -- and one that could be achieved only in movies. What could be more terrific? 
64,The Lord of the Rings: The Return of the King,8.9,100,Variety," Represents that filmmaking rarity -- a third part of a trilogy that is decisively the best of the lot. With epic conflict, staggering battles, striking landscapes and effects, and resolved character arcs all leading to a dramatic conclusion to more than nine hours of masterful storytelling. "
65,The Lord of the Rings: The Return of the King,8.9,100,Empire," Those who have walked beside these heroes every step of the way on such a long journey deserve the emotional pay-off as well as the action peaks, and they will be genuinely touched as the final credits roll. "
66,The Lord of the Rings: The Return of the King,8.9,100,ReelViews," Labeling this as a ""movie"" is almost an injustice. This is an experience of epic scope and grandeur, amazing emotional power, and relentless momentum. "
67,The Lord of the Rings: The Return of the King,8.9,100,New York Magazine (Vulture)," Jackson is rare among the makers of epic movies in that he knows how to do the small stuff, too. The Return of the King has “heart”--how else could it pump out all that blood? "
68,The Lord of the Rings: The Return of the King,8.9,100,New York Daily News," The most emotionally satisfying because, in addition to having both more intimate drama and more spectacular battles, it resolves all of the issues raised before. "
69,The Lord of the Rings: The Return of the King,8.9,100,New York Post," A majestic conclusion to a nine-plus-hours epic that stirs the heart, mind and soul as few films ever have. "
70,Pulp Fiction,8.9,100,Chicago Tribune, Pulp Fiction isn't just funny. It's outrageously funny. [14 Oct 1994] 
71,Pulp Fiction,8.9,100,USA Today," For a brutal black comedy about L.A. hitmen, Pulp Fiction bursts out of its binding with loopy delights. [14 Oct 1994] "
72,Pulp Fiction,8.9,100,San Francisco Chronicle," It is an exhilaration from beginning to end. It's the movie equivalent of that rare sort of novel where you find yourself checking to see how many pages are left and hoping there are more, not fewer. "
73,Pulp Fiction,8.9,100,Chicago Sun-Times," Like ""Citizen Kane,"" Pulp Fiction is constructed in such a nonlinear way that you could see it a dozen times and not be able to remember what comes next. "
74,Pulp Fiction,8.9,100,ReelViews," With this film, every layer that you peel away leads to something deeper and richer. Tarantino makes pictures for movie-lovers, and Pulp Fiction is a near-masterpiece. "
75,Pulp Fiction,8.9,100,Rolling Stone," The new King Kong of crime movies...Ferocious fun without a trace of caution, complacency or political correctness to inhibit its 154 deliciously lurid minutes. "
76,Pulp Fiction,8.9,100,The Globe and Mail (Toronto)," Pulp Fiction is at least three movies rolled into one, and they're all scintillating. "
77,Pulp Fiction,8.9,100,Variety," A spectacularly entertaining piece of pop culture, Pulp Fiction is the ""American Graffiti"" of violent crime pictures. "
78,Pulp Fiction,8.9,100,Film Threat," The first masterwork of the post-modern pop culture generation...gets better with every viewing, and like good rock n' roll, needs to be played loud! "
79,Pulp Fiction,8.9,70,The New Republic," But the way that this picture has been so widely ravened up and drooled over verges on the disgusting. Pulp Fiction nourishes, abets, cultural slumming. [14 Nov 1994] "
80,"Il buono, il brutto, il cattivo",8.8,100,Chicago Reader," Though ordained from the beginning, the three-way showdown that climaxes the film is tense and thoroughly astonishing. "
81,"Il buono, il brutto, il cattivo",8.8,100,Chicago Tribune," An improbable masterpiece -- a bizarre mixture of grandly operatic visuals, grim brutality and sordid violence that keeps wrenching you from one extreme to the other. "
82,"Il buono, il brutto, il cattivo",8.8,100,Seattle Post-Intelligencer," There are two kinds of people, my friend. Those who love Sergio Leone's The Good, the Bad, and the Ugly, and those who resist the machismo and gallows humor of what is arguably the definitive spaghetti western. "
83,"Il buono, il brutto, il cattivo",8.8,100,Boston Globe, Gorgeously stoic art film. 
84,"Il buono, il brutto, il cattivo",8.8,80,TV Guide Magazine," A massive, many-faceted film that continues to hold up, viewing after viewing. "
85,"Il buono, il brutto, il cattivo",8.8,70,Village Voice," All told, and in giant widescreen, it's only blood-red adolescent fun, but it blooms like Douglas Sirk with a Gatling gun compared to the teenage demographic's current fare. Matrix, schmatrix: This is the season's supreme party movie. "
86,"Il buono, il brutto, il cattivo",8.8,60,Variety," A curious amalgam of the visually striking, the dramatically feeble and the offensively sadistic. "
87,Fight Club,8.8,100,San Francisco Chronicle, Delivers a sucker punch to the audience and then pulls the rug out from under it. It is sensational. It is also grimly funny. 
88,Fight Club,8.8,100,Portland Oregonian, Fight Club -- cue the blurb machine -- is a knockout. 
89,Fight Club,8.8,80,The New York Times," The sardonic, testosterone-fueled science fiction of Fight Club touches a raw nerve. "
90,Fight Club,8.8,75,Miami Herald," As a piece of storytelling, Fight Club is a bit of a dud: It's a good 15 minutes too long, and the tension doesn't build the way you wish it would. "
91,Fight Club,8.8,70,Washington Post, A provocative experience that lights you up even as it brutalizes you. And I don't even like Brad Pitt very much. 
92,Fight Club,8.8,63,Baltimore Sun, Keeps filmgoers wondering what will happen next even as they are repulsed by what's happening in front of them. 
93,Fight Club,8.8,63,USA Today, It's fun to talk about...but the price you pay is enduring its excesses and pummeled-home thematic points. 
94,Fight Club,8.8,50,Chicago Reader," This exercise in mainstream masochism, macho posturing, and designer-grunge fascism is borderline ridiculous. But it also happens to be David Fincher's richest movie. "
95,Fight Club,8.8,50,Chicago Sun-Times," But the second act is pandering and the third is trickery, and whatever Fincher thinks the message is, that's not what most audience members will get. "
96,Fight Club,8.8,50,Salon," But imagination and energy are often not enough. On balance, this is the dumbest of the entries in Hollywood's anti-consumerist new wave. "
97,The Lord of the Rings: The Fellowship of the Ring,8.8,100,Salon, I see it as nearly perfect: It's one of the best fantasy pictures ever made. 
98,The Lord of the Rings: The Fellowship of the Ring,8.8,100,Chicago Tribune," An extraordinary work, grandly conceived, brilliantly executed and wildly entertaining. It's a hobbit's dream, a wizard's delight. And, of course, it's only the beginning. "
99,The Lord of the Rings: The Fellowship of the Ring,8.8,100,Wall Street Journal," Against all odds in an era of machine-made spectaculars, Mr. Jackson and his collaborators have created a film epic that lives and breathes. "
100,The Lord of the Rings: The Fellowship of the Ring,8.8,100,Newsweek," The Movie Works. It has real passion, real emotion, real terror, and a tactile sense of evil that is missing in that other current movie dealing with wizards, wonders and wickedness. "
101,The Lord of the Rings: The Fellowship of the Ring,8.8,100,New York Post," So consistently involving because the excellent cast delivers their lines with the kind of utter conviction not seen in this kind of movie since the first ""Star Wars."" "
102,The Lord of the Rings: The Fellowship of the Ring,8.8,91,Seattle Post-Intelligencer," The film's single downside is a certain nagging sense of deja vu: the fact that so many of the elements of the story -- the dark force, the all-empowering object, etc. -- have been usurped over the years (by ""Star Wars"" and others) that you feel as if you've been down this road many, many times before. "
103,The Lord of the Rings: The Fellowship of the Ring,8.8,90,New Times (L.A.)," The film succeeds as massive, astonishing entertainment; verily, enthralling us is its chief goal. "
104,The Lord of the Rings: The Fellowship of the Ring,8.8,75,Miami Herald," Jackson's dazzling vision turns the story into a real movie-movie -- one that, unlike too many fantasy films today, is genuinely transporting. "
105,The Lord of the Rings: The Fellowship of the Ring,8.8,70,TV Guide Magazine," Above all, Jackson evokes an almost palpable sense of the will to power trapped within the ring. Without this evocation of the ring's insidious ability to sniff out the potential for corruption and capitalize on it, the entire enterprise would be precious drivel. "
106,The Lord of the Rings: The Fellowship of the Ring,8.8,63,Philadelphia Inquirer," But moving across this tableau is Frodo and his gang, and here the trouble lies...Not a one seems believable as conveyed by Wood, who forever looks to be on the brink of a good sob. Likewise, his hobbit sidekick Samwise Gamgee (Sean Astin) is a real wuss. "
107,Forrest Gump,8.7,100,ReelViews," Passionate and magical, Forrest Gump is a tonic for the weary of spirit. "
108,Forrest Gump,8.7,90,Variety," Manages the difficult feat of being an intimate, even delicate tale played with an appealingly light touch against an epic backdrop. "
109,Forrest Gump,8.7,90,Chicago Reader," The results are skillful, highly affecting, and ultimately more than a little pernicious. "
110,Forrest Gump,8.7,89,Austin Chronicle," A remarkable balance of sentimentality and harshness, darkness and light. "
111,Forrest Gump,8.7,88,USA Today," Doesn't sound like a very prepossessing title, but prepare to be taken aback by ""what's in a name."" [6 July 1994, Life, p.1D] "
112,Forrest Gump,8.7,80,Mr. Showbiz, The film's technical brilliance and sentimental kick seduced many viewers unsuspecting of its polemical intent. 
113,Forrest Gump,8.7,70,Los Angeles Times," It's most successful when it is being off-center, a state of grace it doesn't quite have the nerve to maintain. [6 July 1994, Calendar, p. F-1] "
114,Forrest Gump,8.7,70,The New York Times," Has the elements of an emotionally gripping story. Yet is feels less like a romance than like a coffee-table book celebrating the magic of special effect. [6 July 1994, p. C9] "
115,Forrest Gump,8.7,60,TV Guide Magazine," Clearly a great event, Forrest Gump is not, however, a great film. It has the form of an epic without real depth or resonance; the trappings of satire without a coherent attitude; and the semblance of historical revisionism without a critical sensibility. "
116,Forrest Gump,8.7,50,Entertainment Weekly," It is also glib, shallow, and monotonous, a movie that spends so much time sanctifying its hero that, despite his ""innocence,"" he ends up seeming about as vulnerable as Superman. "
117,Inception,8.7,100,Boxoffice Magazine," In terms of sheer originality, ambition and achievement, Inception is the movie of the summer, the movie of the year and the movie of our dreams. "
118,Inception,8.7,100,Variety," If Inception is a metaphysical puzzle, it's also a metaphorical one: It's hard not to draw connections between Cobb's dream-weaving and Nolan's filmmaking -- an activity devoted to constructing a simulacrum of reality, intended to seduce us, mess with our heads and leave a lasting impression. Mission accomplished. "
119,Inception,8.7,100,Empire," With physics-defying, thunderous action, heart-wringing emotion and an astonishing performance from DiCaprio, Nolan delivers another true original: welcome to an undiscovered country. "
120,Inception,8.7,90,The Hollywood Reporter," In a summer of remakes, reboots and sequels comes Inception, easily the most original movie idea in ages. "
121,Inception,8.7,88,Rolling Stone," In this wildly ingen­ious chess game, grandmaster Nolan plants ideas in our heads that disturb and dazzle. The result is a knockout. But be warned: Inception dreams big. How cool is that? "
122,Inception,8.7,83,Entertainment Weekly," As engrossing and logic-resistant as the state of dreaming it seeks to replicate, Christopher Nolan's audacious new creation demands further study to fully absorb the multiple, simultaneous stories Nolan finagles into one narrative experience. "
123,Inception,8.7,80,Time Out," Inception, though, is no ""Avatar""--instead, it’s the movie that many wanted ""Avatar"" to be. In a roaringly fast first hour, we’re introduced to a new technology that allows for the bodily invasion of another person’s dreamworld. "
124,Inception,8.7,75,Orlando Sentinel," Inception is an elegant, portentous ride, though I’m not sure Nolan is any closer to visualizing the real (dream) deal than Hitchcock was. "
125,Inception,8.7,40,New York Magazine (Vulture), Inception manages to be clunky and confusing on four separate levels of reality. 
126,Inception,8.7,30,Village Voice, It's obvious that Nolan either can't articulate or doesn't believe in a distinction between living feelings and dreams--and his barren Inception doesn't capture much of either. 
127,Star Wars: Episode V - The Empire Strikes Back,8.7,100,Chicago Sun-Times," The best of three Star Wars films, and the most thought-provoking. After the space opera cheerfulness of the original film, this one plunges into darkness and even despair, and surrenders more completely to the underlying mystery of the story. It is because of the emotions stirred in Empire that the entire series takes on a mythic quality that resonates back to the first and ahead to the third. This is the heart. "
128,Star Wars: Episode V - The Empire Strikes Back,8.7,100,ReelViews," The storyline is more interesting and ambitious, the characters -- little more than appealing types in the original -- are allowed to grow and develop, the special effects are more mature, and the tone is deliciously dark and downbeat. [Special Edition] "
129,Star Wars: Episode V - The Empire Strikes Back,8.7,100,San Francisco Chronicle," The balance between action and mysticism in The Empire Strikes Back provides fascinating energy. It's as if the kids are given one set of delights, the bravado of battles and elaborate warships zooming through exotic space, and adults are given another, a layered explanation of what it all means in the grand scheme of things. [Special Edition] "
130,Star Wars: Episode V - The Empire Strikes Back,8.7,100,Chicago Tribune," It balances bloodshed with charm, spectacle with childlike glee. It's a near flawless movie of its kind. "
131,Star Wars: Episode V - The Empire Strikes Back,8.7,100,Christian Science Monitor, Technical virtuosity and entertainment ingenuity. 
132,Star Wars: Episode V - The Empire Strikes Back,8.7,90,Film Threat," It was incredible to see what is arguably the best of the Star Wars films, on the big screen again. However, I do not believe that any of the minor changes make the film any better. [Special Edition] "
133,Star Wars: Episode V - The Empire Strikes Back,8.7,88,San Francisco Examiner," This is the bluest film you'll ever see. The haunting color resounds throughout Empire like a sustained, melancholy chord...Empire is essential viewing for lovers of science fiction. [Special Edition] "
134,Star Wars: Episode V - The Empire Strikes Back,8.7,80,TV Guide Magazine," A darker, richer, and more elaborate film than the original; it suffers most from being just what it is: a middle chapter with no real ending. [Special Edition] "
135,Star Wars: Episode V - The Empire Strikes Back,8.7,50,The New York Times," The Empire Strikes Back is not a truly terrible movie. It's a nice movie. It's not, by any means, as nice as ""Star Wars."" It's not as fresh and funny and surprising and witty, but it is nice and inoffensive and, in a way that no one associated with it need be ashamed of, it's also silly. "
136,Star Wars: Episode V - The Empire Strikes Back,8.7,40,Chicago Reader," Mainly it's marking time: the characters take a definite backseat to the special effects, and much of the action seems gratuitous, leading nowhere. "
137,The Lord of the Rings: The Two Towers,8.7,100,Boston Globe," The miracle is that 'The Lord of the Rings: The Two Towers is better: tighter, smarter, funnier. "
138,The Lord of the Rings: The Two Towers,8.7,100,Time," Towers, while not quite so varied as Fellowship in its moods and settings, has a grave gusto that energizes every moment...a thrilling work of film craft. "
139,The Lord of the Rings: The Two Towers,8.7,100,New York Daily News," The Two Towers moves faster, covers more ground, has more action and -- with the introduction of the marvelous character Gollum -- packs some much-appreciated laughs. "
140,The Lord of the Rings: The Two Towers,8.7,90,The New York Times," Never has a film so strongly been a product of a director's respect for its source. Mr. Jackson uses all his talents in the service of that reverence, creating a rare perfect mating of filmmaker and material. "
141,The Lord of the Rings: The Two Towers,8.7,90,Dallas Observer," The year's greatest adventure, and Jackson's limited but enthusiastic adaptation has made literature literal without killing its soul. "
142,The Lord of the Rings: The Two Towers,8.7,90,Variety," Has a sharper narrative focus and a livelier sense of forward movement than did the more episodic ""Fellowship."" "
143,The Lord of the Rings: The Two Towers,8.7,89,Austin Chronicle, God forbid this should ever play on an IMAX screen -- the concussive soundtrack and relentless visuals would likely strike viewers deaf and blind (but what a way to go!). Simply breathtaking. 
144,The Lord of the Rings: The Two Towers,8.7,88,USA Today," Epic battles, spectacular effects and multiple story lines make The Two Towers a most excellent middle chapter in The Lord of the Rings film trilogy. "
145,The Lord of the Rings: The Two Towers,8.7,75,Chicago Sun-Times," A rousing adventure, a skillful marriage of special effects and computer animation, and it contains sequences of breathtaking beauty. It also gives us, in a character named the Gollum, one of the most engaging and convincing CGI creatures I've seen. "
146,The Lord of the Rings: The Two Towers,8.7,60,TV Guide Magazine," This second installment is heavy on battle sequences, which will thrill some viewers more than others. "
147,One Flew Over the Cuckoo's Nest,8.7,100,Empire," Too many classic set pieces to mention but keep your ears cocked for that immortal line ""Mmmm, Juicy Fruit."" Certified brilliance. "
148,One Flew Over the Cuckoo's Nest,8.7,100,USA Today," A masterpiece. (9 Jan 1998, p.3D) "
149,One Flew Over the Cuckoo's Nest,8.7,100,Variety, Brilliant cinema theatre. 
150,One Flew Over the Cuckoo's Nest,8.7,100,Total Film," Playing the mental-hospital firebrand who rebels against monstrous Nurse Ratched (Louise Fletcher), Nicholson seduces in an anti-establishment classic with a gut-punch exit. "
151,One Flew Over the Cuckoo's Nest,8.7,100,The Guardian, Here is the bruised-plum role that put Jack Nicholson into the biggest of big leagues. 
152,One Flew Over the Cuckoo's Nest,8.7,90,The Hollywood Reporter," With One Flew Over the Cuckoo's Nest, Forman takes his rightful place as one of our most creative young directors. His casting is inspired, his sense of milieu is assured, and he could probably wring Academy Award performances from a stone. "
153,One Flew Over the Cuckoo's Nest,8.7,80,TV Guide Magazine, Jarring and electrifying drama. 
154,One Flew Over the Cuckoo's Nest,8.7,75,Chicago Sun-Times," So good in so many of its parts that there's a temptation to forgive it when it goes wrong. But it does go wrong, insisting on making larger points than its story really should carry, so that at the end, the human qualities of the characters get lost in the significance of it all. And yet there are those moments of brilliance. "
155,One Flew Over the Cuckoo's Nest,8.7,70,Chicago Reader, This slick and entertaining 1975 film of Ken Kesey's cult novel will inevitably disappoint admirers of director Milos Forman's earlier work. 
156,One Flew Over the Cuckoo's Nest,8.7,70,The New York Times," A comedy that can't quite support its tragic conclusion, which is too schematic to be honestly moving, but it is acted with such a sense of life that one responds to its demonstration of humanity if not to its programmed metaphors. "
157,Goodfellas,8.7,100,Chicago Tribune," All of the performances are first-rate; Pesci stands out, though, with his seemingly unscripted manner. GoodFellas is easily one of the year's best films. [21 September 1990, Friday, p.C] "
158,Goodfellas,8.7,100,Mr. Showbiz," Director Martin Scorsese's spectacular, irreverent picture. "
159,Goodfellas,8.7,100,Christian Science Monitor," Stunningly acted. [21 September 1990, The Arts, p.12] "
160,Goodfellas,8.7,100,Chicago Sun-Times," No finer film has ever been made about organized crime - not even ""The Godfather."" "
